,Incident,Location,Reported-edited,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,Hour,Week_Day,Month,Year,Weeks Since Start,Years since start,Months since start,week-composite,month-composite,Day of month,Date
0,Lost Property,5810 S. University (Quad),40360.52917,40357.61458,Woman reports losing a Canon Power Shot digital camera while in the Quad,Closed,W0731,12,5,7,2010,0,0,0,5-0,7-0,1,7/1/2010
1,Criminal Damage to Vehicle,61st & Drexel,40360.58403,6/29/10 to 7/1/10 3:00 PM to 1:50 PM,Unknown person smashed windshield of a rental truck parked in a vacant lot,Open,W0732,14,5,7,2010,0,0,0,5-0,7-0,1,7/1/2010
2,Theft from Motor Vehicle,60th between Ingleside & Ellis,40360.61667,6/29/10 to 7/1/10 5:30 PM to 12:30 PM,Unknown person smashed rear passenger's side window of vehicle parked on the street and took a GPS device,Open,W0733,14,5,7,2010,0,0,0,5-0,7-0,1,7/1/2010
3,Theft,60th and Ellis,40360.63403,6/23/10 to 6/29/10 9:00 AM to 5:00 PM,Bicycle taken from bike rack,Open,W0734,15,5,7,2010,0,0,0,5-0,7-0,1,7/1/2010
4,Chemical Spill,924 E. 57th St. (BSLC),40360.76042,40360.76042,"Bottle slipped from man's hands, broke causing chemical to spill on his clothes, countertop and floor / Safety notified / No injuries",Closed,W0735,18,5,7,2010,0,0,0,5-0,7-0,1,7/1/2010
7,Battery,Maryland between 53rd & 54th,40360.94792,40360.94792,"A man, who appeared to be intoxicated, struck another man for no apparent reason / Arrest",Arrest,W0738,22,5,7,2010,0,0,0,5-0,7-0,1,7/1/2010
5,Lost Property,"Out of Area - Palos Heights, IL",40360.96458,40360.91667,Staff member reports losing wallet containing UC ID while in a restaurant,Closed,W0736,23,5,7,2010,0,0,0,5-0,7-0,1,7/1/2010
6,Possession of Cannabis,Everett at 56th,40360.99306,40360.99306,UCPD officers arrested two males for possession of marijuana,Arrest,W0737,23,5,7,2010,0,0,0,5-0,7-0,1,7/1/2010
8,Robbery,55th at Kenwood,40361.6,40361.07292,"A group of youths knocked a man to the ground and took his cell phone, MP3 player and head phones",Open,W0739,14,6,7,2010,0,0,0,6-0,7-0,2,7/2/2010
9,Injured Person,55th at Woodlawn,40362.03125,40361.93056,Man riding bicycle struck by a motor vehicle at the intersection / Transported to hospital by CFD EMS,Closed,W0741,0,7,7,2010,0,0,0,7-0,7-0,3,7/3/2010
10,Disturbance,University between 56th & 57th,40362.08681,40362.08681,Loud noise and music at a residence / Peace restored,Closed,W0740,2,7,7,2010,0,0,0,7-0,7-0,3,7/3/2010
11,Injured Person,5815 S. Maryland (Mitchell Hosp.),40362.57153,40362.55556,"Woman walked out of main entrance, tripped over rug, fell injuring right knee / Refused medical attention",Closed,W0742,13,7,7,2010,0,0,0,7-0,7-0,3,7/3/2010
12,Theft,5530 S. Ellis (Ratner AC),40362.71667,7/3/10 4:00 PM to 5:00 PM,"Unknown person took duffel bag, keys, and miscellaneous articles from a locked gym locker / Lock also taken",Open,W0743,17,7,7,2010,0,0,0,7-0,7-0,3,7/3/2010
13,Disturbance,University between 56th & 57th,40363.00694,40363,Neighbors complained of people setting off fireworks / Peace restored,Closed,W0744,0,1,7,2010,0,0,0,1-0,7-0,4,7/4/2010
14,Fire,1118 E. 58th St. (Eckhart Hall),40363.08681,40363.08333,Small fire in trash can outside of Eckhart Hall / Extinguished / CFD responded,Closed,W0745,2,1,7,2010,0,0,0,1-0,7-0,4,7/4/2010
15,Attempt Burglary,61st between Ingleside & Ellis,40363.32361,40363.30556,Unknown male subject gained entry to residence via open window / Suspect fled when confronted by occupant,Open,W0746,7,1,7,2010,0,0,0,1-0,7-0,4,7/4/2010
16,Theft from Motor Vehicle,Midway Pl. between Cottage Grove & Drexel,40364.50833,7/5/10 7:00 AM to 11:45 AM,Unknown person smashed passenger's side vent window of car parked on the street and took a GPS device,Open,W0747,12,2,7,2010,0,0,0,2-0,7-0,5,7/5/2010
17,Unlawful Use of a Weapon,58th at University,40364.8,40364.79722,UCPD officers arrested a male for possession of an air pistol and theft of a bicycle,Arrest,W0748,19,2,7,2010,0,0,0,2-0,7-0,5,7/5/2010
20,Burglary,Ingleside between 51st & 52nd,40365.45139,7/3/10 to 7/6/10 2:00 PM to 7:00 AM,"Unknown person(s) forced entry to vacant building being renovated and took new stoves, refrigerators and microwaves",Open,W0753,10,3,7,2010,0,0,0,3-0,7-0,6,7/6/2010
21,Theft,5801 S. Ellis (Quad),40365.55069,40365.46875,Unknown person took unattended Echo gas hedge trimmer from the bed of a Facilities ATV,Open,W0751,13,3,7,2010,0,0,0,3-0,7-0,6,7/6/2010
22,Theft,5811 S. Ellis (Cobb Hall),40365.55278,7/6/10 12:35 PM to 12:55 PM,Unknown person took an unattended Mac Book Pro laptop computer from a study pod,Open,W0752,13,3,7,2010,0,0,0,3-0,7-0,6,7/6/2010
23,Telephone Harassment,6054 S. Drexel (UC Office Bldg),40365.67292,7/6/10 7:40 AM to 1:00 PM,Staff member reports a person is constantly calling and harassing her via telephone at work,Open,W0754,16,3,7,2010,0,0,0,3-0,7-0,6,7/6/2010
24,Pubic Indecency,Greenwood at 56th,40365.88264,40365.88264,Male performing an indecent act on the public way was observed and arrested by UCPD officers / Also charged with failing to register new address as a sex offender,Arrest,W0757,21,3,7,2010,0,0,0,3-0,7-0,6,7/6/2010
25,Theft,5640 S. University (Bartlett Commons),40365.9,7/2/10 to 7/6/10 4:00 PM to 6:15 PM,Bicycle chained to bike rack taken,Open,W0755,21,3,7,2010,0,0,0,3-0,7-0,6,7/6/2010
26,Criminal Trespass to Property,5514 S. University (Pierce Hall),40365.90972,40365.90972,Man ignored previous warnings arrested by UCPD for trespass,Arrest,W0756,21,3,7,2010,0,0,0,3-0,7-0,6,7/6/2010
27,Fire Alarm,6035 S. Blackstone (Chiller Plant),40366.22708,40366.22708,Alarm malfunction / CFD responded,Closed,W0758,5,4,7,2010,0,0,0,4-0,7-0,7,7/7/2010
28,Criminal Damage to Vehicle,Ingleside at 55th,40366.51597,7/7/10 8:00 AM to 12:00 PM,Unknown person smashed passenger's side rear window of a car parked on the street,Open,W0759,12,4,7,2010,0,0,0,4-0,7-0,7,7/7/2010
29,Theft,1101 E. 57th St. (Zoology),40366.55694,7/7/10 11:00 AM to 12:45 PM,Unknown person entered an unlocked room and removed a MacBook computer from a cable lock,Open,W0760,13,4,7,2010,0,0,0,4-0,7-0,7,7/7/2010
30,Theft from Motor Vehicle,Hyde Park between 55th & 56th,40366.76181,7/4/10 to 7/7/10 11:00 PM to 6:00 PM,Unknown person smashed window of car parked on the street and took a 35 lb. bag of dog food,Open,W0761,18,4,7,2010,0,0,0,4-0,7-0,7,7/7/2010
31,Criminal Trespass to Property,1126 E. 59th St. (Social Science),40367.60208,40367.60208,Man ignored previous warning and was arrested by UCPD for trespass,Arrest,W0762,14,5,7,2010,1,0,0,5-1,7-0,8,7/8/2010
32,Miscellaneous,6054 S. Drexel (UCPD),40367.74306,40367.74306,Domestic situation involving custody of children,Closed,W0763,17,5,7,2010,1,0,0,5-1,7-0,8,7/8/2010
33,Fire Alarm,940 E. 57th St. (Bio-Psychological Research),40368.36458,40368.35417,Alarm triggered by leaking water heater / No fire,Closed,W0764,8,6,7,2010,1,0,0,6-1,7-0,9,7/9/2010
