,Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
0,No traffic stops for 06/01/2015,No traffic stops for 06/01/2015,No traffic stops for 06/01/2015,No traffic stops for 06/01/2015,No traffic stops for 06/01/2015,No traffic stops for 06/01/2015,No traffic stops for 06/01/2015,No traffic stops for 06/01/2015,No traffic stops for 06/01/2015
1,No traffic stops for 06/02/2015,No traffic stops for 06/02/2015,No traffic stops for 06/02/2015,No traffic stops for 06/02/2015,No traffic stops for 06/02/2015,No traffic stops for 06/02/2015,No traffic stops for 06/02/2015,No traffic stops for 06/02/2015,No traffic stops for 06/02/2015
2,6/3/2015 9:26 AM,5600 S Stony Island,African American,Female,Traffic Sign/Signal,"Stop Sign Violation, Failed to Yield to Pedestrians in Crosswalk",,Verbal Warning,No
3,6/4/2015 5:44 PM,5900 S Ellis,African American,Female,Follow Too Close,"Following too closely to vehicle stopped for pedestrians, disobeyed stop sign",,Verbal Warning,No
4,No traffic stops for 06/05/2015,No traffic stops for 06/05/2015,No traffic stops for 06/05/2015,No traffic stops for 06/05/2015,No traffic stops for 06/05/2015,No traffic stops for 06/05/2015,No traffic stops for 06/05/2015,No traffic stops for 06/05/2015,No traffic stops for 06/05/2015
5,No traffic stops for 06/06/2015,No traffic stops for 06/06/2015,No traffic stops for 06/06/2015,No traffic stops for 06/06/2015,No traffic stops for 06/06/2015,No traffic stops for 06/06/2015,No traffic stops for 06/06/2015,No traffic stops for 06/06/2015,No traffic stops for 06/06/2015
6,No traffic stops for 06/07/2015,No traffic stops for 06/07/2015,No traffic stops for 06/07/2015,No traffic stops for 06/07/2015,No traffic stops for 06/07/2015,No traffic stops for 06/07/2015,No traffic stops for 06/07/2015,No traffic stops for 06/07/2015,No traffic stops for 06/07/2015
7,No traffic stops for 06/08/2015,No traffic stops for 06/08/2015,No traffic stops for 06/08/2015,No traffic stops for 06/08/2015,No traffic stops for 06/08/2015,No traffic stops for 06/08/2015,No traffic stops for 06/08/2015,No traffic stops for 06/08/2015,No traffic stops for 06/08/2015
8,No traffic stops for 06/09/2015,No traffic stops for 06/09/2015,No traffic stops for 06/09/2015,No traffic stops for 06/09/2015,No traffic stops for 06/09/2015,No traffic stops for 06/09/2015,No traffic stops for 06/09/2015,No traffic stops for 06/09/2015,No traffic stops for 06/09/2015
9,No traffic stops for 06/10/2015,No traffic stops for 06/10/2015,No traffic stops for 06/10/2015,No traffic stops for 06/10/2015,No traffic stops for 06/10/2015,No traffic stops for 06/10/2015,No traffic stops for 06/10/2015,No traffic stops for 06/10/2015,No traffic stops for 06/10/2015
